fold,epoch,train_loss,val_loss,val_pearson,val_r2,val_mae,val_mse
1,1,0.229576,0.096326,0.120665,-3.199318,0.257757,0.096326
1,2,0.057096,0.021554,0.465018,0.060366,0.117263,0.021554
1,3,0.043162,0.018272,0.5203,0.203423,0.10805,0.018272
1,4,0.036212,0.033596,0.504983,-0.464617,0.149825,0.033596
1,5,0.03184,0.031747,0.231431,-0.383995,0.134321,0.031747
1,6,0.026478,0.018716,0.464933,0.184087,0.10678,0.018716
1,7,0.025355,0.029199,0.556239,-0.272922,0.139725,0.029199
1,8,0.022953,0.014318,0.648199,0.375813,0.092206,0.014318
1,9,0.021468,0.01547,0.608544,0.325586,0.09474,0.01547
1,10,0.020712,0.014244,0.621619,0.379038,0.090688,0.014244
1,11,0.019552,0.015665,0.621061,0.317068,0.096438,0.015665
1,12,0.01773,0.015157,0.640724,0.339242,0.095518,0.015157
1,13,0.017056,0.01496,0.627662,0.34781,0.094634,0.01496
1,14,0.01654,0.018668,0.623074,0.186157,0.107128,0.018668
1,15,0.015419,0.0155,0.619318,0.324286,0.095208,0.0155
1,16,0.014508,0.013922,0.653557,0.393062,0.091265,0.013922
1,17,0.013913,0.02351,0.597231,-0.024921,0.124304,0.02351
1,18,0.012531,0.016252,0.624519,0.291484,0.097467,0.016252
1,19,0.011912,0.017621,0.631475,0.231797,0.105326,0.017621
1,20,0.011096,0.02101,0.62164,0.084075,0.115998,0.02101
1,21,0.0111,0.014795,0.622018,0.355015,0.094032,0.014795
1,22,0.009886,0.015645,0.66185,0.317957,0.09805,0.015645
1,23,0.009762,0.015693,0.644889,0.315852,0.098524,0.015693
1,24,0.00815,0.036887,0.563109,-0.608073,0.161227,0.036887
1,25,0.007799,0.023406,0.629353,-0.020374,0.122421,0.023406
1,26,0.007961,0.017399,0.635106,0.241497,0.104327,0.017399
2,1,0.139099,0.110229,0.072738,-4.051645,0.286547,0.110229
2,2,0.062673,0.061351,0.195342,-1.81162,0.208965,0.061351
2,3,0.042453,0.023502,0.281157,-0.077048,0.123032,0.023502
2,4,0.039812,0.027603,0.389805,-0.264995,0.131282,0.027603
2,5,0.033092,0.021995,0.351377,-0.008007,0.117875,0.021995
2,6,0.027316,0.02213,0.5347,-0.01418,0.118926,0.02213
2,7,0.025136,0.027246,0.58277,-0.248664,0.136125,0.027246
2,8,0.022652,0.017338,0.525494,0.205404,0.10358,0.017338
2,9,0.021291,0.01661,0.515862,0.238774,0.102836,0.01661
2,10,0.019353,0.036244,0.523451,-0.660991,0.158958,0.036244
2,11,0.018144,0.020385,0.561569,0.06578,0.114327,0.020385
2,12,0.016813,0.016561,0.575849,0.241023,0.102728,0.016561
2,13,0.016329,0.017159,0.535742,0.213606,0.103655,0.017159
2,14,0.013498,0.027386,0.48885,-0.255054,0.131572,0.027386
2,15,0.013134,0.016617,0.569227,0.23847,0.102371,0.016617
2,16,0.013465,0.015976,0.573292,0.26786,0.096626,0.015976
2,17,0.011899,0.022096,0.546609,-0.012622,0.118353,0.022096
2,18,0.010159,0.018782,0.583682,0.139246,0.105742,0.018782
2,19,0.01011,0.01612,0.552255,0.26124,0.099873,0.01612
2,20,0.009323,0.016637,0.552755,0.237545,0.102865,0.016637
2,21,0.009028,0.020916,0.579208,0.041442,0.113941,0.020916
2,22,0.00774,0.017861,0.590159,0.181431,0.107093,0.017862
2,23,0.007695,0.016677,0.554047,0.235707,0.103741,0.016677
2,24,0.007805,0.028642,0.529279,-0.312608,0.134862,0.028642
2,25,0.007054,0.017722,0.582853,0.187846,0.104543,0.017722
2,26,0.006613,0.014966,0.588666,0.314109,0.097249,0.014966
2,27,0.006123,0.017398,0.591038,0.202693,0.104055,0.017398
2,28,0.00623,0.016063,0.587887,0.263868,0.099519,0.016063
2,29,0.00547,0.027711,0.529713,-0.269977,0.131681,0.027711
2,30,0.006099,0.030905,0.538623,-0.41635,0.142786,0.030905
2,31,0.004972,0.015436,0.603036,0.292579,0.097213,0.015436
