fold,epoch,train_loss,val_loss,val_pearson,val_r2,val_mae,val_mse
2,32,0.005005,0.015614,0.575232,0.284413,0.097576,0.015614
2,33,0.004685,0.019893,0.574708,0.088341,0.10948,0.019893
2,34,0.005049,0.014734,0.601829,0.324775,0.095241,0.014734
2,35,0.005067,0.015899,0.60242,0.271371,0.099456,0.015899
2,36,0.004337,0.017089,0.589483,0.216827,0.102134,0.017089
2,37,0.003768,0.017642,0.580822,0.191468,0.103783,0.017642
2,38,0.003992,0.016217,0.609224,0.256784,0.099798,0.016217
2,39,0.004024,0.018398,0.595799,0.156844,0.10824,0.018398
2,40,0.004102,0.023646,0.573143,-0.083679,0.122507,0.023646
2,41,0.003324,0.014366,0.610623,0.341629,0.09487,0.014366
2,42,0.003964,0.015115,0.592257,0.307322,0.096263,0.015115
2,43,0.004027,0.01731,0.61902,0.206704,0.103838,0.01731
2,44,0.003706,0.01477,0.576488,0.323114,0.096064,0.01477
2,45,0.003909,0.014916,0.577316,0.316415,0.095118,0.014916
2,46,0.003965,0.020016,0.564003,0.082678,0.113683,0.020016
2,47,0.004246,0.018406,0.546751,0.156487,0.107632,0.018406
2,48,0.003863,0.01479,0.620705,0.322193,0.094221,0.01479
2,49,0.003316,0.014485,0.591417,0.336183,0.094118,0.014485
2,50,0.003177,0.016239,0.594835,0.255795,0.101034,0.016239
2,51,0.003404,0.019781,0.544091,0.093445,0.111241,0.019781
3,1,0.087181,0.047209,0.135882,-1.145832,0.178178,0.047209
3,2,0.046206,0.028589,0.33531,-0.299486,0.137128,0.028589
3,3,0.036963,0.018424,0.453242,0.162564,0.108865,0.018424
3,4,0.028067,0.026363,0.515343,-0.198311,0.131287,0.026363
3,5,0.021715,0.024339,0.56331,-0.106283,0.126138,0.024339
3,6,0.020763,0.019296,0.50341,0.122925,0.111537,0.019296
3,7,0.019459,0.020284,0.542456,0.078011,0.114527,0.020284
3,8,0.016533,0.015229,0.555826,0.307767,0.098003,0.015229
3,9,0.015874,0.017693,0.592715,0.195768,0.105091,0.017693
3,10,0.014643,0.018343,0.583049,0.166259,0.107826,0.018343
3,11,0.013216,0.019661,0.603714,0.106326,0.112759,0.019661
3,12,0.012538,0.016813,0.599503,0.235784,0.104136,0.016813
3,13,0.012105,0.015445,0.607915,0.297944,0.101071,0.015445
3,14,0.010774,0.015752,0.596578,0.284029,0.099639,0.015752
3,15,0.009811,0.014955,0.597082,0.320218,0.096866,0.014955
3,16,0.009185,0.01517,0.565659,0.310474,0.098311,0.01517
3,17,0.007726,0.016892,0.556853,0.232179,0.102874,0.016892
3,18,0.007933,0.015978,0.569184,0.273735,0.100712,0.015978
3,19,0.007263,0.01616,0.585317,0.265485,0.100381,0.01616
3,20,0.006381,0.016757,0.582843,0.238341,0.102142,0.016757
3,21,0.006206,0.015717,0.576896,0.285599,0.098392,0.015717
3,22,0.006123,0.015773,0.571868,0.283068,0.097971,0.015773
3,23,0.00626,0.01732,0.596845,0.212729,0.104743,0.01732
3,24,0.005835,0.015546,0.604795,0.293398,0.098586,0.015546
3,25,0.005382,0.015762,0.551078,0.283575,0.097845,0.015762
4,1,0.085611,0.109935,-0.234071,-3.890638,0.275342,0.109935
4,2,0.047291,0.027193,0.286317,-0.209713,0.131642,0.027193
4,3,0.034676,0.040595,0.422657,-0.805961,0.166125,0.040595
4,4,0.028436,0.020484,0.483732,0.088713,0.115313,0.020484
4,5,0.023371,0.020846,0.538675,0.072625,0.115468,0.020846
4,6,0.020007,0.016331,0.529804,0.273496,0.100686,0.016331
4,7,0.018953,0.018911,0.558374,0.158729,0.107799,0.018911
4,8,0.0162,0.01622,0.580509,0.278418,0.100588,0.01622
4,9,0.014834,0.019211,0.57929,0.145349,0.108471,0.019211
4,10,0.012987,0.039129,0.488873,-0.740742,0.165167,0.039129
4,11,0.012195,0.014401,0.605789,0.35934,0.09386,0.014401
4,12,0.010562,0.015194,0.619192,0.324067,0.096429,0.015194
4,13,0.010509,0.014815,0.609742,0.340915,0.094878,0.014815
4,14,0.009324,0.017995,0.586686,0.199455,0.104758,0.017995
4,15,0.008568,0.016724,0.5686,0.256019,0.101027,0.016724
4,16,0.008018,0.02171,0.562313,0.034205,0.115479,0.02171
4,17,0.007464,0.015101,0.578698,0.328196,0.096745,0.015101
4,18,0.006807,0.039202,0.531762,-0.743977,0.166752,0.039202
4,19,0.00705,0.017689,0.557067,0.213073,0.104887,0.017689
4,20,0.005871,0.015719,0.576397,0.3007,0.100046,0.015719
4,21,0.005687,0.017988,0.528183,0.199771,0.104361,0.017988
5,1,0.206812,0.0626,0.018336,-1.719273,0.204848,0.0626
5,2,0.073594,0.031171,0.143774,-0.354041,0.138225,0.031171
5,3,0.056741,0.033803,0.210306,-0.468367,0.144011,0.033803
5,4,0.045949,0.046249,0.495169,-1.009018,0.182599,0.046249
5,5,0.035238,0.017051,0.576715,0.259338,0.10363,0.017051
5,6,0.031693,0.016167,0.606808,0.297705,0.102309,0.016167
5,7,0.02876,0.014245,0.637213,0.381208,0.095645,0.014245
5,8,0.025666,0.017117,0.628405,0.256478,0.10406,0.017117
5,9,0.022926,0.013696,0.640195,0.405053,0.093013,0.013696
5,10,0.021675,0.013926,0.637003,0.395055,0.092463,0.013926
5,11,0.020396,0.020356,0.575726,0.11578,0.113258,0.020356
5,12,0.020146,0.017175,0.579854,0.253936,0.104857,0.017175
5,13,0.018128,0.02956,0.565502,-0.284035,0.139918,0.02956
5,14,0.017356,0.018976,0.680381,0.175686,0.111544,0.018976
5,15,0.016385,0.015015,0.63951,0.34778,0.096371,0.015015
5,16,0.014575,0.012998,0.665059,0.435399,0.090138,0.012998
5,17,0.014077,0.01556,0.631419,0.324072,0.099095,0.01556
5,18,0.013352,0.020581,0.651459,0.105971,0.116025,0.020581
5,19,0.012822,0.01581,0.611494,0.313219,0.099755,0.01581
5,20,0.011847,0.016496,0.612975,0.283429,0.101369,0.016496
5,21,0.010558,0.019772,0.641159,0.14114,0.114379,0.019772
5,22,0.010301,0.014301,0.624646,0.378797,0.094784,0.014301
5,23,0.009421,0.016965,0.595356,0.263065,0.101634,0.016965
5,24,0.00965,0.015752,0.638223,0.315767,0.100233,0.015752
5,25,0.009119,0.023126,0.622794,-0.004564,0.122147,0.023126
5,26,0.0077,0.013897,0.634146,0.39631,0.09329,0.013897
