epoch,train_loss,val_loss,train_pearson,val_pearson
1,0.13133037904814138,0.036071263688306016,0.016355762669569986,0.044462877274121466
2,0.052731821976475794,0.04274344618121783,0.11676945752719545,0.16719033417711915
3,0.04189931591814858,0.023339512944221496,0.12017099294731566,0.2142396599210373
4,0.035448270471040474,0.023486812226474287,0.1646655718757,0.2452477853799556
5,0.03106302303909245,0.02180395337442557,0.1672183286774567,0.26139121743518673
6,0.02804907420807976,0.022054317283133666,0.2306342321793642,0.25660430072717216
7,0.027153063723343914,0.019877840764820576,0.23821879512145042,0.3152141642147184
8,0.025088869792930152,0.020422289334237575,0.26892565179543254,0.31152874842934997
9,0.023446624372470175,0.020795878022909164,0.31214322070052536,0.25848460763274655
10,0.021760157356827944,0.020107207198937733,0.3777587886467507,0.3092958997115954
11,0.020116128137935015,0.0196427960259219,0.43105009061597266,0.42819530247873633
12,0.01898558704592919,0.019772463850677012,0.4832915672194842,0.373999463317166
13,0.01703215643005856,0.02107688095420599,0.5442144903131455,0.3684290646802222
14,0.015845044216109536,0.019644480695327125,0.5821141831409111,0.44000091535616004
15,0.01489501596444239,0.01820680219680071,0.6131157933601205,0.436988490386427
16,0.013201008282475552,0.017367370054125787,0.6635525413399767,0.4821142604738148
17,0.01244367296823253,0.022271238019069037,0.6842304266192979,0.45779022751175935
18,0.011599278764136262,0.018888818162182967,0.7095694837759772,0.49260171356961463
19,0.010995890353253837,0.02028525285422802,0.7245929532854681,0.5019363314390867
20,0.011005107384427623,0.02082300614565611,0.7238900061957528,0.4558064941842625
21,0.010557634124563913,0.017062998625139394,0.7382058555200038,0.4962432578475827
22,0.00991647828654465,0.022717952728271484,0.7563360519230549,0.4636264992278598
23,0.009588263589509968,0.017068716511130334,0.764066828407131,0.5102573866274449
24,0.008599100815984657,0.018637408254047236,0.7901000976265062,0.5062707885640503
25,0.00837902098862549,0.017856334646542866,0.7975906361688518,0.4949456455892239
26,0.008349189850485932,0.02205372806638479,0.7975821600137722,0.4987634498688119
27,0.008257810697275198,0.015884640719741584,0.7992787057402438,0.5437947416906563
28,0.008017556039395473,0.03290672662357489,0.8054231218035215,0.47534372852196843
29,0.0070252949293008295,0.026918894797563552,0.8323214381121344,0.5371287997260685
30,0.00753029907453742,0.016254429581264655,0.8181904447054458,0.543880388584781
31,0.0064930110475269415,0.03289588292439779,0.8450499706924823,0.47618756448418065
32,0.006699163604811844,0.015584809767703215,0.8401434475245148,0.5782462247874295
33,0.006441859354785943,0.02004422725488742,0.8465274722537016,0.5190446968947918
34,0.0068421515841352734,0.015135057953496773,0.8369414661999525,0.5747351798836118
35,0.005945715187038532,0.019821182762583097,0.8591614103537975,0.5674364785353067
36,0.005801009464125007,0.04949022904038429,0.8627858036743686,0.46215322827003935
37,0.005960911484750904,0.01786000058054924,0.8589475505274926,0.5466417223741012
38,0.005719439754010004,0.03785495012998581,0.8652722946595185,0.5051870454888316
39,0.0056073652280463,0.016745640027026335,0.8676805677363048,0.54291531213643
40,0.005119019472119161,0.018548028481503328,0.8798166579644563,0.5580544684992973
41,0.005387225614513381,0.017378290928900243,0.8730860535476047,0.5652756628257898
42,0.005528463232252053,0.0592944805820783,0.870102027064441,0.3787032197647527
43,0.005626701386803288,0.01720893879731496,0.8669250915725479,0.5468751386903418
44,0.00490814914248126,0.021510404782990614,0.8850988981630946,0.5331624330031497
