Run,LR,Dropout,Hidden,WD,Batch,Pearson_Mean,Pearson_SD,R2_Mean,R2_SD,Time_s
53,0.001,0.3,"[768, 512, 256]",0.0001,32,0.5024,0.0402,0.2368,0.0327,20.3
54,0.001,0.3,"[768, 512, 256]",0.0001,64,0.5051,0.0308,0.2276,0.0508,11.4
55,0.001,0.4,"[256, 128, 64]",0,16,0.5507,0.0061,0.2968,0.0070,16.9
56,0.001,0.4,"[256, 128, 64]",0,32,0.5005,0.0286,0.2369,0.0388,7.8
57,0.001,0.4,"[256, 128, 64]",0,64,0.3974,0.0284,0.0822,0.0298,4.3
58,0.001,0.4,"[256, 128, 64]",1e-05,16,0.5420,0.0164,0.2916,0.0174,16.5
59,0.001,0.4,"[256, 128, 64]",1e-05,32,0.5270,0.0069,0.2666,0.0075,8.3
60,0.001,0.4,"[256, 128, 64]",1e-05,64,0.4441,0.0393,0.1494,0.0516,4.6
61,0.001,0.4,"[256, 128, 64]",0.0001,16,0.5317,0.0424,0.2791,0.0443,17.8
62,0.001,0.4,"[256, 128, 64]",0.0001,32,0.5029,0.0052,0.2388,0.0035,9.7
63,0.001,0.4,"[256, 128, 64]",0.0001,64,0.4191,0.0352,0.1058,0.0108,5.0
64,0.001,0.4,"[512, 256, 128, 64]",0,16,0.5129,0.0070,0.2600,0.0084,29.0
65,0.001,0.4,"[512, 256, 128, 64]",0,32,0.4910,0.0496,0.2198,0.0538,15.4
66,0.001,0.4,"[512, 256, 128, 64]",0,64,0.3912,0.0438,0.1117,0.0390,8.4
67,0.001,0.4,"[512, 256, 128, 64]",1e-05,16,0.5343,0.0072,0.2770,0.0125,30.7
68,0.001,0.4,"[512, 256, 128, 64]",1e-05,32,0.4331,0.0196,0.1719,0.0252,16.1
69,0.001,0.4,"[512, 256, 128, 64]",1e-05,64,0.4222,0.0172,0.1403,0.0212,9.1
70,0.001,0.4,"[512, 256, 128, 64]",0.0001,16,0.5367,0.0130,0.2711,0.0232,32.1
71,0.001,0.4,"[512, 256, 128, 64]",0.0001,32,0.5011,0.0306,0.2469,0.0313,16.7
72,0.001,0.4,"[512, 256, 128, 64]",0.0001,64,0.3685,0.0725,0.0684,0.0661,8.9
73,0.001,0.4,"[768, 512, 256]",0,16,0.5475,0.0105,0.2772,0.0023,36.3
74,0.001,0.4,"[768, 512, 256]",0,32,0.5127,0.0096,0.2404,0.0133,19.6
75,0.001,0.4,"[768, 512, 256]",0,64,0.4886,0.0292,0.2309,0.0250,11.0
76,0.001,0.4,"[768, 512, 256]",1e-05,16,0.5417,0.0126,0.2666,0.0079,38.4
77,0.001,0.4,"[768, 512, 256]",1e-05,32,0.5253,0.0372,0.2529,0.0384,22.3
78,0.001,0.4,"[768, 512, 256]",1e-05,64,0.5038,0.0154,0.2264,0.0262,12.6
79,0.001,0.4,"[768, 512, 256]",0.0001,16,0.5222,0.0016,0.2566,0.0043,38.8
